Course,Title,A,B,C,D,F,P,N(P),W,I,Number,Professor
WS,Gender and Sexuality,40%,40%,13%,0%,7%,0%,0%,0%,0%,3490,"Cooper, Sarah Mae"
YDP,Youth Development in Soci,52%,32%,0%,4%,8%,0%,0%,4%,0%,3000,"Johnson, Kimberly Pearson"
YDP,Youth Development in Soci,80%,16%,0%,0%,4%,0%,0%,0%,0%,3000,"Stephens, Lauren Elizabeth"
YDP,Theory/Phil of Youth Dev,78%,9%,9%,0%,0%,0%,0%,4%,0%,3050,"Swett, Emily"
YDP,Youth Developmt and the,82%,14%,0%,5%,0%,0%,0%,0%,0%,3100,"Quinn, William H"
YDP,Community & Youth Dev S,92%,0%,8%,0%,0%,0%,0%,0%,0%,3150,"Lance, Stephen W"
YDP,Youth Dev in Sport/Phys A,85%,15%,0%,0%,0%,0%,0%,0%,0%,3200,"Stephens, Lauren Elizabeth"
YDP,Working with Diverse Yout,91%,5%,0%,0%,0%,0%,0%,5%,0%,3250,"Johnson, Kimberly Pearson"
YDP,Youth Activity Leadership,64%,14%,9%,5%,5%,0%,0%,5%,0%,3350,"Anderson, Allison Avishai"
YDP,Deliver Effective Youth Pro,92%,4%,0%,0%,4%,0%,0%,0%,0%,3400,"Rembert, Kellye S"
YDP,Child/Adolescent Dev,67%,25%,8%,0%,0%,0%,0%,0%,0%,8010,"Stephens, Lauren Elizabeth"
YDP,Assess & Eval of Youth Pro,76%,24%,0%,0%,0%,0%,0%,0%,0%,8040,"Garst, Barry A"
YDP,Special Topics Youth Dev L,83%,4%,9%,0%,4%,0%,0%,0%,0%,8880,"Garst, Barry A"
